inst_id,all_time_high,all_time_low,last_update
SHIB-USDT,5.58e-06,2.7771875e-06,2026-09-06 02:59:14
DOT-USDT,0.913,0.430421875,2026-09-06 03:00:06
EGLD-USDT,4.572,2.19484375,2026-09-06 03:01:01
DYDX-USDT,0.11801,0.05859375,2026-09-06 03:22:17
AR-USDT,2.987,1.110359375,2026-09-06 03:30:29
CAT-USDT,2.735e-06,1.08375e-06,2026-09-06 03:04:36
YGG-USDT,0.02361,0.01123037109375,2026-09-06 03:00:00
BREV-USDT,0.08093,0.03686875,2026-09-06 03:03:26
ZK-USDT,0.00997,0.0042640625,2026-09-06 03:00:52
ZORA-USDT,0.008948,0.0036065625,2026-09-06 03:36:21
