inst_id,pair_type,is_paired,buy_price,buy_time,sell_line,sell_line_price,is_sold,sell_time,sell_reason,profit,profit_pct
BONK-USDT,回撤下,True,3.35e-06,2026-09-06 02:59:09,回撤上,3.6874863281250003e-06,False,,,0,0
SAHARA-USDT,回撤下,True,0.00931,2026-09-06 02:59:09,回撤上,0.010157343749999999,False,,,0,0
FET-USDT,回调下,True,0.1651,2026-09-06 02:59:11,回调上,0.18372128906250002,False,,,0,0
ASTR-USDT,回调下,True,0.005894,2026-09-06 02:59:12,回调上,0.006591796875,False,,,0,0
SPK-USDT,回撤下,True,0.021,2026-09-06 02:59:13,回撤上,0.023436484374999997,False,,,0,0
ALGO-USDT,回撤下,True,0.09478,2026-09-06 02:59:13,回撤上,0.11473632812500001,False,,,0,0
TOSHI-USDT,回撤下,True,0.00012164,2026-09-06 02:59:14,回撤上,0.000131059765625,False,,,0,0
LRC-USDT,回调下,True,0.00833,2026-09-06 02:59:14,回调上,0.01265625,False,,,0,0
GRT-USDT,回撤下,True,0.01764,2026-09-06 02:59:15,回撤上,0.02187255859375,False,,,0,0
T-USDT,回撤下,True,0.00425,2026-09-06 02:59:16,回撤上,0.005116210937500001,False,,,0,0
ICP-USDT,回撤下,True,2.628,2026-09-06 02:59:17,回撤上,2.838134765625,False,,,0,0
HMSTR-USDT,回撤下,True,0.0001829,2026-09-06 02:59:18,回撤上,0.00020089453125,False,,,0,0
BERA-USDT,回撤下,True,0.1868,2026-09-06 02:59:18,回撤上,0.22173779296874999,False,,,0,0
ICX-USDT,回撤下,True,0.01527,2026-09-06 02:59:21,回撤上,0.018919952392578127,False,,,0,0
CORE-USDT,回撤下,True,0.02208,2026-09-06 02:59:25,回撤上,0.02611083984375,False,,,0,0
ZETA-USDT,回调下,True,0.03455,2026-09-06 02:59:29,回调上,0.03787119140624999,False,,,0,0
ACH-USDT,回调下,True,0.005455,2026-09-06 03:00:00,回调上,0.0061878515625,False,,,0,0
AVNT-USDT,回调下,True,0.10576,2026-09-06 03:00:00,回调上,0.11812500000000001,False,,,0,0
ILV-USDT,回撤下,True,3.152,2026-09-06 03:00:00,回撤上,3.76336669921875,False,,,0,0
STORJ-USDT,次2,True,0.03036,2026-09-06 03:00:00,中间,0.044848828125000004,False,,,0,0
RSR-USDT,回调下,True,0.001409,2026-09-06 03:00:00,回调上,0.0015662109375000001,False,,,0,0
YFI-USDT,回调下,True,2317.0,2026-09-06 03:00:02,回调上,2505.3310546875,False,,,0,0
SPACE-USDT,回撤下,True,0.005096,2026-09-06 03:00:06,回撤上,0.0061394531249999995,False,,,0,0
LAT-USDT,回撤下,True,0.0005521,2026-09-06 03:00:07,回撤上,0.000591278076171875,False,,,0,0
WCT-USDT,回撤下,True,0.03913,2026-09-06 03:00:07,回撤上,0.04221025390625001,False,,,0,0
TNSR-USDT,回撤下,True,0.0364,2026-09-06 03:00:09,回撤上,0.03935546875,False,,,0,0
A-USDT,回撤下,True,0.0797,2026-09-06 03:00:10,回撤上,0.09515546875,False,,,0,0
BIGTIME-USDT,回撤下,True,0.006739,2026-09-06 03:00:10,回撤上,0.007530517578125,False,,,0,0
LINEA-USDT,回调下,True,0.002637,2026-09-06 03:00:12,回调上,0.0029267578125,False,,,0,0
KSM-USDT,回调下,True,3.7,2026-09-06 03:00:14,回调上,4.119807128906251,False,,,0,0
CITY-USDT,回调下,True,0.37,2026-09-06 03:01:30,回调上,0.41132812499999993,False,,,0,0
GMT-USDT,回撤下,True,0.007459,2026-09-06 03:04:39,回撤上,0.0083251953125,False,,,0,0
ONE-USDT,回调下,True,0.000727,2026-09-06 03:24:00,回调上,0.000791015625,False,,,0,0
SKL-USDT,回撤下,True,0.003806,2026-09-06 03:29:37,回撤上,0.0040695068359375,False,,,0,0
