inst_id,position_price,position_qty,position_amount,buy_time,buy_reason,pair_type,pair_sell_line,peak_price,stop_price,profit_triggered,check_level,last_check_time,current_price,market_value,unrealized_pnl,unrealized_pnl_pct
BONK-USDT,3.35e-06,5970149253.731343,20000.0,2026-09-06 02:59:09,回撤下-买入(近),回撤下,回撤上,3.35e-06,0.0,False,T2,2026-09-06 03:36:35,3.31e-06,19761.194029850747,-238.80597014925297,-1.1940298507462648
SAHARA-USDT,0.00931,2148227.7121374863,20000.0,2026-09-06 02:59:09,回撤下-买入(近),回撤下,回撤上,0.00931,0.0,False,T1,2026-09-06 03:25:24,0.009353,20092.37379162191,92.37379162191064,0.46186895810955325
FET-USDT,0.1651,121138.70381586917,20000.0,2026-09-06 02:59:11,回调下-买入(近),回调下,回调上,0.1651,0.0,False,T2,2026-09-06 03:35:55,0.1648,19963.65838885524,-36.341611144758645,-0.18170805572379323
ASTR-USDT,0.005894,3393281.3030200205,20000.0,2026-09-06 02:59:12,回调下-买入(近),回调下,回调上,0.005894,0.0,False,T1,2026-09-06 03:23:05,0.005903,20030.539531727183,30.539531727183203,0.15269765863591603
SPK-USDT,0.021,952380.9523809523,20000.0,2026-09-06 02:59:13,回撤下-买入(近),回撤下,回撤上,0.021,0.0,False,T1,2026-09-06 03:35:32,0.02113,20123.809523809523,123.80952380952294,0.6190476190476147
ALGO-USDT,0.09478,211014.98206372652,20000.0,2026-09-06 02:59:13,回撤下-买入(近),回撤下,回撤上,0.09478,0.0,False,T1,2026-09-06 03:36:25,0.09501,20048.533445874655,48.53344587465472,0.2426672293732736
TOSHI-USDT,0.00012164,164419598.8161789,20000.0,2026-09-06 02:59:14,回撤下-买入(近),回撤下,回撤上,0.00012164,0.0,False,T1,2026-09-06 03:00:51,0.00012194,20049.325879644854,49.32587964485356,0.2466293982242678
LRC-USDT,0.00833,2400960.3841536613,20000.0,2026-09-06 02:59:14,回调下-买入(近),回调下,回调上,0.00833,0.0,False,T1,2026-09-06 03:35:36,0.008346,20038.415366146455,38.4153661464552,0.192076830732276
GRT-USDT,0.01764,1133786.8480725624,20000.0,2026-09-06 02:59:15,回撤下-买入(近),回撤下,回撤上,0.01764,0.0,False,T2,2026-09-06 03:32:06,0.01764,20000.0,0.0,0.0
T-USDT,0.00425,4705882.352941176,20000.0,2026-09-06 02:59:16,回撤下-买入(近),回撤下,回撤上,0.00425,0.0,False,T1,2026-09-06 03:34:47,0.00426,20047.05882352941,47.05882352940898,0.23529411764704491
ICP-USDT,2.628,7610.3500761035,20000.0,2026-09-06 02:59:17,回撤下-买入(近),回撤下,回撤上,2.628,0.0,False,T2,2026-09-06 03:36:12,2.626,19984.77929984779,-15.220700152211066,-0.07610350076105533
HMSTR-USDT,0.0001829,109349371.24111536,20000.0,2026-09-06 02:59:18,回撤下-买入(近),回撤下,回撤上,0.0001829,0.0,False,T2,2026-09-06 03:34:27,0.0001822,19923.45544013122,-76.5445598687802,-0.38272279934390097
BERA-USDT,0.1868,107066.38115631691,20000.0,2026-09-06 02:59:18,回撤下-买入(近),回撤下,回撤上,0.1868,0.0,False,T2,2026-09-06 03:36:32,0.1863,19946.46680942184,-53.53319057816043,-0.26766595289080214
ICX-USDT,0.01527,1309757.694826457,20000.0,2026-09-06 02:59:21,回撤下-买入(近),回撤下,回撤上,0.01527,0.0,False,T1,2026-09-06 03:26:42,0.01538,20144.07334643091,144.0733464309087,0.7203667321545436
CORE-USDT,0.02208,905797.1014492754,20000.0,2026-09-06 02:59:25,回撤下-买入(近),回撤下,回撤上,0.02208,0.0,False,T2,2026-09-06 03:36:25,0.02202,19945.652173913044,-54.34782608695605,-0.2717391304347802
ZETA-USDT,0.03455,578871.2011577424,20000.0,2026-09-06 02:59:29,回调下-买入(近),回调下,回调上,0.03455,0.0,False,T1,2026-09-06 03:35:06,0.03456,20005.788712011577,5.788712011577445,0.028943560057887226
ACH-USDT,0.005455,3666361.1365719526,20000.0,2026-09-06 03:00:00,回调下-买入(近),回调下,回调上,0.005455,0.0,False,T1,2026-09-06 03:32:10,0.005472,20062.328139321726,62.32813932172576,0.31164069660862875
AVNT-USDT,0.10576,189107.41301059,20000.0,2026-09-06 03:00:00,回调下-买入(近),回调下,回调上,0.10576,0.0,False,T2,2026-09-06 03:36:19,0.10569,19986.76248108926,-13.237518910740619,-0.0661875945537031
ILV-USDT,3.152,6345.177664974619,20000.0,2026-09-06 03:00:00,回撤下-买入(近),回撤下,回撤上,3.152,0.0,False,T1,2026-09-06 03:35:00,3.159,20044.41624365482,44.4162436548213,0.22208121827410648
STORJ-USDT,0.03036,658761.5283267457,20000.0,2026-09-06 03:00:00,次2-买入(近),次2,中间,0.03036,0.0,False,T1,2026-09-06 03:34:36,0.03057,20138.339920948616,138.33992094861605,0.6916996047430803
RSR-USDT,0.001409,14194464.158977998,20000.0,2026-09-06 03:00:00,回调下-买入(近),回调下,回调上,0.001409,0.0,False,T2,2026-09-06 03:33:47,0.001405,19943.222143364088,-56.77785663591203,-0.28388928317956014
YFI-USDT,2317.0,8.631851532153647,20000.0,2026-09-06 03:00:02,回调下-买入(近),回调下,回调上,2317.0,0.0,False,T2,2026-09-06 03:31:29,2311.0,19948.208890807076,-51.791109192923614,-0.25895554596461806
SPACE-USDT,0.005096,3924646.781789639,20000.0,2026-09-06 03:00:06,回撤下-买入(近),回撤下,回撤上,0.005096,0.0,False,T1,2026-09-06 03:36:31,0.0051,20015.69858712716,15.698587127160863,0.07849293563580433
LAT-USDT,0.0005521,36225321.49972831,20000.0,2026-09-06 03:00:07,回撤下-买入(近),回撤下,回撤上,0.0005521,0.0,False,T2,2026-09-06 03:35:05,0.0005513,19971.019742800218,-28.9802571997825,-0.1449012859989125
WCT-USDT,0.03913,511116.7901865576,20000.0,2026-09-06 03:00:07,回撤下-买入(近),回撤下,回撤上,0.03913,0.0,False,T1,2026-09-06 03:34:10,0.03915,20010.22233580373,10.222335803729948,0.051111679018649735
